name,image,description,launched,website,offline,presented,breakout,feature,video,first_active,last_active,slack_channel,github
tRacket - Noise Meter Project,tracket-graphic-sq.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/9fOcRZ53o2SrBYKabyqR2A/4Q1zRbpcbuDiQn253JEl4kMOy65vbEjwGMqdgwOdh-5EkG72ZDE7aL2H0A6NQsc2d5ShybRIvYbuoXlEWtC2KfpaWYV4aAzHkjbHGkV06mwZWJUkpDFNOwkrN4si6OOOC11XwXSARwr--P5sObab2dYrW94ns8MVDor31kE4o2k/Hnbsan6iZBJce9X9XDz6gAj10LPRfOlgW4FrsArkfgY),We’re making it easy and affordable to collect data about noise,TRUE,https://tracket.info,,TRUE,TRUE,,https://www.youtube.com/watch?v=qAeNPwS0nsc,2023-08-08,2024-05-28,"#proj-noisemeter
",
OpenShelter.space,Screenshot 2024-09-14 at 4.00.26 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/S_ebBC_pv60dspvp7CdVEQ/nx4kIVprDt2w0gpZZq4VBAIiRjLxJwTyYFk7tILD_DRveAqB1bUBdfos1CFJ8VROmPWpxXXgGIbum60Etek4AsOj_UfJhZQRdzEJZlkoRKzLQfVhBHxVb0iQnstqVe21YMnVBIqjTVbjnR_mbiIe2W1t5KVlHjeBINmrKVCJ8A5KEUaFVm6sUZfDrdW8wJYE/15ScqXr4bW2PifIZ13JcJu6BwjSwbFuxnKXtU8AsZgA),,TRUE,https://openshelter.space,,TRUE,TRUE,,https://www.youtube.com/watch?v=C9wVOlqa0dA,,2024-02-01,#openshelter-space,
#proj-library-passport,,,,,,,TRUE,,,,2023-11-21,#proj-library-passport,
Missing Persons Project,Screenshot 2024-09-14 at 4.08.07 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/PPJHL6E1wYXqe-LO1pJZ9A/toT5nDdC3au6R2IDXUDdlzQIhex9vhbxOoNC7vKxaHEIHycK14Rbvy27f5ePI-YAZEHG0JcqX81O6-LIniebubFwV-gPj_dMVQLFRT76UoVnPdoUXs0ps_xXm6qHpN2uW-WasSOXMATMOneTl4qjPfoW8xy1KVGkMGLGAtB_6PxZLihQIDsHZx5XRl3CAb8p/cGHkQjK5ny2Pw2j2VKtDo-vO8IHJHXYMp_WXbwdp34I),"This application facilitates the identification of missing persons by comparing physical characteristics and personal information with unidentified remains.

This application streamlines the identification process, reducing manual cross-referencing and time-consuming searches.",TRUE,https://civictechto.github.io/missing-persons/,,TRUE,TRUE,,https://www.youtube.com/watch?v=ndIAnxp20Wo,2022-01-01,2023-10-03,#proj-missing-persons,https://github.com/CivicTechTO/missing-persons
Itsneerby,Screenshot 2024-09-14 at 4.04.30 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/05zDJHSw8pHPOl4DrmByrQ/i6XdyTBirUyjdNsInZPA-F6MmPabPwUYZwCAmxhn3Qv3UmYW7O72tqvTmr5BUHPeDJ5fW2Tgepi2tibvfePCMX36BcT7zlk-hQIoH7nIflWBn2lRSc2nM_emXsAfopZjuoV1tTzxRW9nlWpU6cVg4TsRhuGCIZwZXf85yKFaRcj8jODN76vAaErIzG1vG4-2/l_yvn9of22zF4wh_5p7LRUjWHFx3-uom4DxEea6gZxw),,TRUE,https://itsneerby.ca/,,TRUE,TRUE,,https://www.youtube.com/watch?v=seD7GldEwA4,,2023-03-05,"#proj-itsneerby
",
Tech Audit Project,,,,,,,TRUE,,,2022-02-15,2022-11-18,#proj-tech-audit,
#proj-speed-camera,,,,,,,TRUE,,,2022-06-16,2022-09-11,#proj-speed-camera,
COVID Graphic Model,,,,,,,TRUE,,,2020-01-01,2022-05-19,#covid-model,
Open Data Profiler,,talking about building a profiler for city of toronto open datasets,,,,,TRUE,,,2022-01-01,2022-02-08,#cot-opendata-profiler,
Tabs Toronto,Screenshot 2024-09-14 at 4.01.54 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/CDSHxFA4cMQ41xE4-bPjdw/1NPHWwbEls4xrE6c-9kYrvVr7E3tyLBNvCwlK7Xwqh6_7hLTv5zC1ec-qXCxIjvkI7StAZahOs9E8b9Fb7-lW8KJE3HtTGVz1k6d05mpSAVoJIwyh1gbVySmCFwYe8z05RuUfKK9CpYz0d89BzzIzbYc4E6EcSLjGUl0IWQc19Oz92GErLF0OA_pYYVzhwZ7/CS0DKLKwIcmmraejBI3tPXxUM6noP6USJS9hufbBoto),,TRUE,"http://pwd.ca/tabs
",,,TRUE,,,2021-01-01,2022-01-01,#proj-tabs-toronto,
Chalmers Cards,Screenshot 2024-09-14 at 4.01.06 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/M7F0xOTWh_MVyLXArFwHeA/arLXMbe5oOoYWpjzbOTvmia68-fMt8ospiT6RZUSKFsSIEx1GuFbNvija0dVpSUImIuDpRK7Nnw3vTEovMzfnJoDMCeiMCFe2pNq12IMxbUY6pJbHiucqwXac_S6f_fayONQjK7pXvBS5LELEFoCPfIrNSTEI38AJG1tA1g85TB_jb9ZQPpFD7BmPRTkVExn/Yz4trKkSoKLDA-wNQXmmYUiNen9SWig_i4RDDhn33DQ),,TRUE,https://www.chalmerscards.com/,,,TRUE,,,,2022-01-01,#openshelter-space,
Law & Design CoLab,,,,,,,TRUE,,,,2021-11-02,#law-and-design-colab,
Techfugees Toronto,,,,,,TRUE,TRUE,,,,2021-01-19,"#techfugeestoronto
",
Accelerator Project,,aims to help homeless and at-risk youth escape the cycle of poverty by helping them to use tech skills,TRUE,https://acceleratorproject.xyz/,TRUE,,TRUE,,,2018-01-01,2021-01-01,#accelerator,
Our Data Futures,,,,,,,TRUE,,,,2020-07-19,#our-data-futures,
TTC Subway times,Screenshot 2024-09-14 at 3.54.13 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/zFLDVw7PM5W62m8pgFy1-w/ISqYeewvTzM77pvRH8RuCZURIjf1883OeKqxaHyODtUifiCw3Kmb_-yFcMQQ1wT_gP8pLonIIYvwxmoHrLkg756N37LOMQW6SwhBPiEzKEFdPWHDP4VMFwLNHmQKUp6rZral7NsQ2WwPiNtCyUyhsB7JoP5jRarbNV-56bW1vilUYcivuL2XpMiwXNFUMaGw/d170yRGnNPrXG2Pvae-8jRxhep3UHayoUEBnc5s81Tg),,,,,,TRUE,,,2017-01-01,2020-01-01,,https://github.com/CivicTechTO/ttc_subway_times
COVID Connect,,a lightweight process to match design and technology volunteers to existing COVID-19 initiatives and mutual aid projects that need digital support,,,,,TRUE,,,2020-01-01,2020-01-01,#covid19-connect,
Ample Labs,,,,,,,TRUE,,,,2019-01-01,#amplelabs,
Health Atlas - Mapping project for Mississauga Halton Health Integration Network,Screenshot 2024-09-14 at 4.06.00 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/DoGdysa4V8HxEW_2MrQrvQ/E-hgQKwp08oo4ea03BIYrs_kx4un56jcWGyr3pKJ91pkUqJytGSz27Nk0J8Cyi5oPNxw-SvO3jRIl7ZeehuMTbh9N-Y2rLFRmgYZcO2oyUJUf28qUolLtbv7PkhMI7SeKIWFAwC0oDp-CBDvLLnX_9PqUxcsK5hRIKjQZfRuQ01SZKMGejY5vOwRQFhfcScp/pZ-da9GH5vL2KeKrXHP3x7_b2zctKB5q2-wnX63wKVE),,TRUE,https://misshaltlhin.github.io/MissHaltLHIN/,,,TRUE,,,2016-07-26,2018-08-16,"#mapmhlin
",https://github.com/MissHaltLHIN/MissHaltLHIN
Councilmatic Toronto,,,,,,,TRUE,,,,2018-07-17,#proj-councilmatic-dev,
The Carded,,Uses Human Centered Design to change how policies are communicated to black communities.,,,,,TRUE,,,,2018-06-04,#thecarded,
